iso3,country,area,fuel,per_capita_tons
AZE,Azerbaijan,Rural,Total Polluting,0.84
BDI,Burundi,Urban,Biomass,0.7
BDI,Burundi,Urban,Charcoal,0.28
BDI,Burundi,Urban,Coal,0.35
BDI,Burundi,Urban,Electricity,0.1
BDI,Burundi,Urban,Gas,0.45
BDI,Burundi,Urban,Kerosene,0.32
BDI,Burundi,Urban,Total Clean,0.5
BDI,Burundi,Urban,Total Polluting,0.65
BDI,Burundi,Rural,Biomass,0.88
BDI,Burundi,Rural,Charcoal,0.32
BDI,Burundi,Rural,Coal,0.42
BDI,Burundi,Rural,Electricity,0.06
BDI,Burundi,Rural,Gas,0.36
BDI,Burundi,Rural,Kerosene,0.35
BDI,Burundi,Rural,Total Clean,0.38
BDI,Burundi,Rural,Total Polluting,0.78
BEN,Benin,Urban,Biomass,0.63
BEN,Benin,Urban,Charcoal,0.25
BEN,Benin,Urban,Coal,0.32
BEN,Benin,Urban,Electricity,0.09
BEN,Benin,Urban,Gas,0.41
BEN,Benin,Urban,Kerosene,0.29
BEN,Benin,Urban,Total Clean,0.45
BEN,Benin,Urban,Total Polluting,0.59
BEN,Benin,Rural,Biomass,0.79
BEN,Benin,Rural,Charcoal,0.29
BEN,Benin,Rural,Coal,0.38
BEN,Benin,Rural,Electricity,0.05
BEN,Benin,Rural,Gas,0.32
BEN,Benin,Rural,Kerosene,0.32
BEN,Benin,Rural,Total Clean,0.34
BEN,Benin,Rural,Total Polluting,0.7
BFA,Burkina Faso,Urban,Biomass,0.73
BFA,Burkina Faso,Urban,Charcoal,0.29
BFA,Burkina Faso,Urban,Coal,0.36
BFA,Burkina Faso,Urban,Electricity,0.1
BFA,Burkina Faso,Urban,Gas,0.47
BFA,Burkina Faso,Urban,Kerosene,0.33
BFA,Burkina Faso,Urban,Total Clean,0.52
BFA,Burkina Faso,Urban,Total Polluting,0.68
BFA,Burkina Faso,Rural,Biomass,0.91
BFA,Burkina Faso,Rural,Charcoal,0.34
BFA,Burkina Faso,Rural,Coal,0.44
BFA,Burkina Faso,Rural,Electricity,0.06
BFA,Burkina Faso,Rural,Gas,0.38
BFA,Burkina Faso,Rural,Kerosene,0.37
BFA,Burkina Faso,Rural,Total Clean,0.39
BFA,Burkina Faso,Rural,Total Polluting,0.81
BGD,Bangladesh,Urban,Biomass,0.67
BGD,Bangladesh,Urban,Charcoal,0.27
BGD,Bangladesh,Urban,Coal,0.33
BGD,Bangladesh,Urban,Electricity,0.1
BGD,Bangladesh,Urban,Gas,0.43
BGD,Bangladesh,Urban,Kerosene,0.3
BGD,Bangladesh,Urban,Total Clean,0.48
BGD,Bangladesh,Urban,Total Polluting,0.62
BGD,Bangladesh,Rural,Biomass,0.83
BGD,Bangladesh,Rural,Charcoal,0.31
BGD,Bangladesh,Rural,Coal,0.4
BGD,Bangladesh,Rural,Electricity,0.06
BGD,Bangladesh,Rural,Gas,0.34
BGD,Bangladesh,Rural,Kerosene,0.33
BGD,Bangladesh,Rural,Total Clean,0.36
BGD,Bangladesh,Rural,Total Polluting,0.74
BIH,Bosnia and Herzegovina,Urban,Biomass,0.73
BIH,Bosnia and Herzegovina,Urban,Charcoal,0.29
BIH,Bosnia and Herzegovina,Urban,Coal,0.37
BIH,Bosnia and Herzegovina,Urban,Electricity,0.1
BIH,Bosnia and Herzegovina,Urban,Gas,0.47
BIH,Bosnia and Herzegovina,Urban,Kerosene,0.33
BIH,Bosnia and Herzegovina,Urban,Total Clean,0.52
BIH,Bosnia and Herzegovina,Urban,Total Polluting,0.68
BIH,Bosnia and Herzegovina,Rural,Biomass,0.92
BIH,Bosnia and Herzegovina,Rural,Charcoal,0.34
BIH,Bosnia and Herzegovina,Rural,Coal,0.44
BIH,Bosnia and Herzegovina,Rural,Electricity,0.06
BIH,Bosnia and Herzegovina,Rural,Gas,0.38
BIH,Bosnia and Herzegovina,Rural,Kerosene,0.37
BIH,Bosnia and Herzegovina,Rural,Total Clean,0.39
BIH,Bosnia and Herzegovina,Rural,Total Polluting,0.82
BLR,Belarus,Urban,Biomass,0.68
BLR,Belarus,Urban,Charcoal,0.27
BLR,Belarus,Urban,Coal,0.34
BLR,Belarus,Urban,Electricity,0.1
BLR,Belarus,Urban,Gas,0.44
BLR,Belarus,Urban,Kerosene,0.31
BLR,Belarus,Urban,Total Clean,0.49
BLR,Belarus,Urban,Total Polluting,0.63
BLR,Belarus,Rural,Biomass,0.85
BLR,Belarus,Rural,Charcoal,0.31
BLR,Belarus,Rural,Coal,0.41
BLR,Belarus,Rural,Electricity,0.06
BLR,Belarus,Rural,Gas,0.35
BLR,Belarus,Rural,Kerosene,0.34
BLR,Belarus,Rural,Total Clean,0.37
BLR,Belarus,Rural,Total Polluting,0.76
BLZ,Belize,Urban,Biomass,0.74
BLZ,Belize,Urban,Charcoal,0.3
BLZ,Belize,Urban,Coal,0.37
BLZ,Belize,Urban,Electricity,0.11
BLZ,Belize,Urban,Gas,0.48
BLZ,Belize,Urban,Kerosene,0.34
BLZ,Belize,Urban,Total Clean,0.53
BLZ,Belize,Urban,Total Polluting,0.69
BLZ,Belize,Rural,Biomass,0.93
BLZ,Belize,Rural,Charcoal,0.34
BLZ,Belize,Rural,Coal,0.45
BLZ,Belize,Rural,Electricity,0.06
BLZ,Belize,Rural,Gas,0.38
BLZ,Belize,Rural,Kerosene,0.37
BLZ,Belize,Rural,Total Clean,0.4
BLZ,Belize,Rural,Total Polluting,0.83
BOL,Bolivia (Plurinational State of),Urban,Biomass,0.67
BOL,Bolivia (Plurinational State of),Urban,Charcoal,0.27
BOL,Bolivia (Plurinational State of),Urban,Coal,0.34
BOL,Bolivia (Plurinational State of),Urban,Electricity,0.1
BOL,Bolivia (Plurinational State of),Urban,Gas,0.43
BOL,Bolivia (Plurinational State of),Urban,Kerosene,0.31
BOL,Bolivia (Plurinational State of),Urban,Total Clean,0.48
BOL,Bolivia (Plurinational State of),Urban,Total Polluting,0.62
BOL,Bolivia (Plurinational State of),Rural,Biomass,0.84
BOL,Bolivia (Plurinational State of),Rural,Charcoal,0.31
BOL,Bolivia (Plurinational State of),Rural,Coal,0.4
BOL,Bolivia (Plurinational State of),Rural,Electricity,0.06
BOL,Bolivia (Plurinational State of),Rural,Gas,0.34
BOL,Bolivia (Plurinational State of),Rural,Kerosene,0.34
BOL,Bolivia (Plurinational State of),Rural,Total Clean,0.36
BOL,Bolivia (Plurinational State of),Rural,Total Polluting,0.75
BRA,Brazil,Urban,Biomass,0.72
BRA,Brazil,Urban,Charcoal,0.29
BRA,Brazil,Urban,Coal,0.36
BRA,Brazil,Urban,Electricity,0.1
BRA,Brazil,Urban,Gas,0.46
BRA,Brazil,Urban,Kerosene,0.33
BRA,Brazil,Urban,Total Clean,0.51
BRA,Brazil,Urban,Total Polluting,0.67
BRA,Brazil,Rural,Biomass,0.9
BRA,Brazil,Rural,Charcoal,0.33
BRA,Brazil,Rural,Coal,0.43
BRA,Brazil,Rural,Electricity,0.06
BRA,Brazil,Rural,Gas,0.37
BRA,Brazil,Rural,Kerosene,0.36
BRA,Brazil,Rural,Total Clean,0.39
BRA,Brazil,Rural,Total Polluting,0.8
BTN,Bhutan,Urban,Biomass,0.74
BTN,Bhutan,Urban,Charcoal,0.29
BTN,Bhutan,Urban,Coal,0.37
BTN,Bhutan,Urban,Electricity,0.11
BTN,Bhutan,Urban,Gas,0.47
BTN,Bhutan,Urban,Kerosene,0.34
BTN,Bhutan,Urban,Total Clean,0.53
BTN,Bhutan,Urban,Total Polluting,0.68
BTN,Bhutan,Rural,Biomass,0.92
BTN,Bhutan,Rural,Charcoal,0.34
BTN,Bhutan,Rural,Coal,0.44
BTN,Bhutan,Rural,Electricity,0.06
BTN,Bhutan,Rural,Gas,0.38
BTN,Bhutan,Rural,Kerosene,0.37
BTN,Bhutan,Rural,Total Clean,0.39
BTN,Bhutan,Rural,Total Polluting,0.82
BWA,Botswana,Urban,Biomass,0.64
BWA,Botswana,Urban,Charcoal,0.26
BWA,Botswana,Urban,Coal,0.32
BWA,Botswana,Urban,Electricity,0.09
BWA,Botswana,Urban,Gas,0.41
BWA,Botswana,Urban,Kerosene,0.29
BWA,Botswana,Urban,Total Clean,0.46
BWA,Botswana,Urban,Total Polluting,0.6
BWA,Botswana,Rural,Biomass,0.8
BWA,Botswana,Rural,Charcoal,0.3
BWA,Botswana,Rural,Coal,0.39
BWA,Botswana,Rural,Electricity,0.06
BWA,Botswana,Rural,Gas,0.33
BWA,Botswana,Rural,Kerosene,0.32
BWA,Botswana,Rural,Total Clean,0.34
BWA,Botswana,Rural,Total Polluting,0.72
CAF,Central African Republic,Urban,Biomass,0.64
CAF,Central African Republic,Urban,Charcoal,0.26
CAF,Central African Republic,Urban,Coal,0.32
CAF,Central African Republic,Urban,Electricity,0.09
CAF,Central African Republic,Urban,Gas,0.41
CAF,Central African Republic,Urban,Kerosene,0.29
CAF,Central African Republic,Urban,Total Clean,0.46
CAF,Central African Republic,Urban,Total Polluting,0.6
CAF,Central African Republic,Rural,Biomass,0.8
CAF,Central African Republic,Rural,Charcoal,0.29
CAF,Central African Republic,Rural,Coal,0.38
CAF,Central African Republic,Rural,Electricity,0.05
CAF,Central African Republic,Rural,Gas,0.33
CAF,Central African Republic,Rural,Kerosene,0.32
CAF,Central African Republic,Rural,Total Clean,0.34
CAF,Central African Republic,Rural,Total Polluting,0.71
CHN,China,Urban,Biomass,0.69
CHN,China,Urban,Charcoal,0.28
CHN,China,Urban,Coal,0.35
CHN,China,Urban,Electricity,0.1
CHN,China,Urban,Gas,0.45
CHN,China,Urban,Kerosene,0.32
CHN,China,Urban,Total Clean,0.49
CHN,China,Urban,Total Polluting,0.64
CHN,China,Rural,Biomass,0.87
CHN,China,Rural,Charcoal,0.32
CHN,China,Rural,Coal,0.42
CHN,China,Rural,Electricity,0.06
CHN,China,Rural,Gas,0.36
CHN,China,Rural,Kerosene,0.35
CHN,China,Rural,Total Clean,0.37
CHN,China,Rural,Total Polluting,0.77
CIV,Côte d'Ivoire,Urban,Biomass,0.75
CIV,Côte d'Ivoire,Urban,Charcoal,0.3
CIV,Côte d'Ivoire,Urban,Coal,0.37
CIV,Côte d'Ivoire,Urban,Electricity,0.11
CIV,Côte d'Ivoire,Urban,Gas,0.48
CIV,Côte d'Ivoire,Urban,Kerosene,0.34
CIV,Côte d'Ivoire,Urban,Total Clean,0.53
CIV,Côte d'Ivoire,Urban,Total Polluting,0.7
CIV,Côte d'Ivoire,Rural,Biomass,0.94
CIV,Côte d'Ivoire,Rural,Charcoal,0.34
CIV,Côte d'Ivoire,Rural,Coal,0.45
CIV,Côte d'Ivoire,Rural,Electricity,0.06
CIV,Côte d'Ivoire,Rural,Gas,0.39
CIV,Côte d'Ivoire,Rural,Kerosene,0.38
CIV,Côte d'Ivoire,Rural,Total Clean,0.4
CIV,Côte d'Ivoire,Rural,Total Polluting,0.83
CMR,Cameroon,Urban,Biomass,0.74
CMR,Cameroon,Urban,Charcoal,0.3
CMR,Cameroon,Urban,Coal,0.37
CMR,Cameroon,Urban,Electricity,0.11
CMR,Cameroon,Urban,Gas,0.48
CMR,Cameroon,Urban,Kerosene,0.34
CMR,Cameroon,Urban,Total Clean,0.53
CMR,Cameroon,Urban,Total Polluting,0.69
CMR,Cameroon,Rural,Biomass,0.93
CMR,Cameroon,Rural,Charcoal,0.34
CMR,Cameroon,Rural,Coal,0.44
CMR,Cameroon,Rural,Electricity,0.06
CMR,Cameroon,Rural,Gas,0.38
CMR,Cameroon,Rural,Kerosene,0.37
CMR,Cameroon,Rural,Total Clean,0.4
CMR,Cameroon,Rural,Total Polluting,0.83
COD,Democratic Republic of the Congo,Urban,Biomass,0.68
COD,Democratic Republic of the Congo,Urban,Charcoal,0.27
COD,Democratic Republic of the Congo,Urban,Coal,0.34
COD,Democratic Republic of the Congo,Urban,Electricity,0.1
COD,Democratic Republic of the Congo,Urban,Gas,0.44
COD,Democratic Republic of the Congo,Urban,Kerosene,0.31
COD,Democratic Republic of the Congo,Urban,Total Clean,0.48
COD,Democratic Republic of the Congo,Urban,Total Polluting,0.63
COD,Democratic Republic of the Congo,Rural,Biomass,0.85
COD,Democratic Republic of the Congo,Rural,Charcoal,0.31
COD,Democratic Republic of the Congo,Rural,Coal,0.41
COD,Democratic Republic of the Congo,Rural,Electricity,0.06
COD,Democratic Republic of the Congo,Rural,Gas,0.35
COD,Democratic Republic of the Congo,Rural,Kerosene,0.34
COD,Democratic Republic of the Congo,Rural,Total Clean,0.36
COD,Democratic Republic of the Congo,Rural,Total Polluting,0.75
COG,Congo,Urban,Biomass,0.63
COG,Congo,Urban,Charcoal,0.25
COG,Congo,Urban,Coal,0.32
COG,Congo,Urban,Electricity,0.09
COG,Congo,Urban,Gas,0.41
COG,Congo,Urban,Kerosene,0.29
COG,Congo,Urban,Total Clean,0.45
COG,Congo,Urban,Total Polluting,0.59
COG,Congo,Rural,Biomass,0.79
COG,Congo,Rural,Charcoal,0.29
COG,Congo,Rural,Coal,0.38
COG,Congo,Rural,Electricity,0.05
COG,Congo,Rural,Gas,0.32
COG,Congo,Rural,Kerosene,0.32
COG,Congo,Rural,Total Clean,0.34
COG,Congo,Rural,Total Polluting,0.7
COK,Cook Islands,Urban,Biomass,0.73
COK,Cook Islands,Urban,Charcoal,0.29
COK,Cook Islands,Urban,Coal,0.36
COK,Cook Islands,Urban,Electricity,0.1
COK,Cook Islands,Urban,Gas,0.47
COK,Cook Islands,Urban,Kerosene,0.33
COK,Cook Islands,Urban,Total Clean,0.52
COK,Cook Islands,Urban,Total Polluting,0.68
COK,Cook Islands,Rural,Biomass,0.91
COK,Cook Islands,Rural,Charcoal,0.33
COK,Cook Islands,Rural,Coal,0.44
COK,Cook Islands,Rural,Electricity,0.06
COK,Cook Islands,Rural,Gas,0.37
COK,Cook Islands,Rural,Kerosene,0.37
COK,Cook Islands,Rural,Total Clean,0.39
COK,Cook Islands,Rural,Total Polluting,0.81
COL,Colombia,Urban,Biomass,0.67
COL,Colombia,Urban,Charcoal,0.27
COL,Colombia,Urban,Coal,0.34
COL,Colombia,Urban,Electricity,0.1
COL,Colombia,Urban,Gas,0.43
COL,Colombia,Urban,Kerosene,0.31
COL,Colombia,Urban,Total Clean,0.48
COL,Colombia,Urban,Total Polluting,0.62
COL,Colombia,Rural,Biomass,0.84
COL,Colombia,Rural,Charcoal,0.31
COL,Colombia,Rural,Coal,0.4
COL,Colombia,Rural,Electricity,0.06
COL,Colombia,Rural,Gas,0.35
COL,Colombia,Rural,Kerosene,0.34
COL,Colombia,Rural,Total Clean,0.36
COL,Colombia,Rural,Total Polluting,0.75
COM,Comoros,Urban,Biomass,0.74
COM,Comoros,Urban,Charcoal,0.3
COM,Comoros,Urban,Coal,0.37
COM,Comoros,Urban,Electricity,0.11
COM,Comoros,Urban,Gas,0.48
COM,Comoros,Urban,Kerosene,0.34
COM,Comoros,Urban,Total Clean,0.53
COM,Comoros,Urban,Total Polluting,0.69
COM,Comoros,Rural,Biomass,0.93
COM,Comoros,Rural,Charcoal,0.34
COM,Comoros,Rural,Coal,0.45
COM,Comoros,Rural,Electricity,0.06
COM,Comoros,Rural,Gas,0.38
COM,Comoros,Rural,Kerosene,0.37
COM,Comoros,Rural,Total Clean,0.4
COM,Comoros,Rural,Total Polluting,0.83
CPV,Cabo Verde,Urban,Biomass,0.7
CPV,Cabo Verde,Urban,Charcoal,0.28
CPV,Cabo Verde,Urban,Coal,0.35
CPV,Cabo Verde,Urban,Electricity,0.1
CPV,Cabo Verde,Urban,Gas,0.45
CPV,Cabo Verde,Urban,Kerosene,0.32
CPV,Cabo Verde,Urban,Total Clean,0.5
CPV,Cabo Verde,Urban,Total Polluting,0.65
CPV,Cabo Verde,Rural,Biomass,0.87
CPV,Cabo Verde,Rural,Charcoal,0.32
CPV,Cabo Verde,Rural,Coal,0.42
CPV,Cabo Verde,Rural,Electricity,0.06
CPV,Cabo Verde,Rural,Gas,0.36
CPV,Cabo Verde,Rural,Kerosene,0.35
CPV,Cabo Verde,Rural,Total Clean,0.37
CPV,Cabo Verde,Rural,Total Polluting,0.78
CRI,Costa Rica,Urban,Biomass,0.63
CRI,Costa Rica,Urban,Charcoal,0.25
CRI,Costa Rica,Urban,Coal,0.32
CRI,Costa Rica,Urban,Electricity,0.09
CRI,Costa Rica,Urban,Gas,0.41
CRI,Costa Rica,Urban,Kerosene,0.29
CRI,Costa Rica,Urban,Total Clean,0.45
CRI,Costa Rica,Urban,Total Polluting,0.59
CRI,Costa Rica,Rural,Biomass,0.79
CRI,Costa Rica,Rural,Charcoal,0.29
CRI,Costa Rica,Rural,Coal,0.38
CRI,Costa Rica,Rural,Electricity,0.05
CRI,Costa Rica,Rural,Gas,0.33
CRI,Costa Rica,Rural,Kerosene,0.32
CRI,Costa Rica,Rural,Total Clean,0.34
CRI,Costa Rica,Rural,Total Polluting,0.71
DJI,Djibouti,Urban,Biomass,0.77
DJI,Djibouti,Urban,Charcoal,0.31
DJI,Djibouti,Urban,Coal,0.38
DJI,Djibouti,Urban,Electricity,0.11
DJI,Djibouti,Urban,Gas,0.49
DJI,Djibouti,Urban,Kerosene,0.35
DJI,Djibouti,Urban,Total Clean,0.55
DJI,Djibouti,Urban,Total Polluting,0.71
DJI,Djibouti,Rural,Biomass,0.96
DJI,Djibouti,Rural,Charcoal,0.35
DJI,Djibouti,Rural,Coal,0.46
DJI,Djibouti,Rural,Electricity,0.07
DJI,Djibouti,Rural,Gas,0.39
DJI,Djibouti,Rural,Kerosene,0.39
DJI,Djibouti,Rural,Total Clean,0.41
DJI,Djibouti,Rural,Total Polluting,0.86
DMA,Dominica,Urban,Biomass,0.73
DMA,Dominica,Urban,Charcoal,0.29
DMA,Dominica,Urban,Coal,0.37
DMA,Dominica,Urban,Electricity,0.1
DMA,Dominica,Urban,Gas,0.47
DMA,Dominica,Urban,Kerosene,0.33
DMA,Dominica,Urban,Total Clean,0.52
DMA,Dominica,Urban,Total Polluting,0.68
DMA,Dominica,Rural,Biomass,0.92
DMA,Dominica,Rural,Charcoal,0.34
DMA,Dominica,Rural,Coal,0.44
DMA,Dominica,Rural,Electricity,0.06
DMA,Dominica,Rural,Gas,0.38
DMA,Dominica,Rural,Kerosene,0.37
DMA,Dominica,Rural,Total Clean,0.39
DMA,Dominica,Rural,Total Polluting,0.82
DOM,Dominican Republic,Urban,Biomass,0.65
DOM,Dominican Republic,Urban,Charcoal,0.26
DOM,Dominican Republic,Urban,Coal,0.33
DOM,Dominican Republic,Urban,Electricity,0.09
DOM,Dominican Republic,Urban,Gas,0.42
DOM,Dominican Republic,Urban,Kerosene,0.3
DOM,Dominican Republic,Urban,Total Clean,0.47
DOM,Dominican Republic,Urban,Total Polluting,0.61
DOM,Dominican Republic,Rural,Biomass,0.82
DOM,Dominican Republic,Rural,Charcoal,0.3
DOM,Dominican Republic,Rural,Coal,0.39
DOM,Dominican Republic,Rural,Electricity,0.06
DOM,Dominican Republic,Rural,Gas,0.34
DOM,Dominican Republic,Rural,Kerosene,0.33
DOM,Dominican Republic,Rural,Total Clean,0.35
DOM,Dominican Republic,Rural,Total Polluting,0.73
DZA,Algeria,Urban,Biomass,0.65
DZA,Algeria,Urban,Charcoal,0.26
DZA,Algeria,Urban,Coal,0.32
DZA,Algeria,Urban,Electricity,0.09
DZA,Algeria,Urban,Gas,0.42
DZA,Algeria,Urban,Kerosene,0.3
DZA,Algeria,Urban,Total Clean,0.46
DZA,Algeria,Urban,Total Polluting,0.6
DZA,Algeria,Rural,Biomass,0.81
DZA,Algeria,Rural,Charcoal,0.3
DZA,Algeria,Rural,Coal,0.39
DZA,Algeria,Rural,Electricity,0.06
DZA,Algeria,Rural,Gas,0.33
DZA,Algeria,Rural,Kerosene,0.33
DZA,Algeria,Rural,Total Clean,0.35
DZA,Algeria,Rural,Total Polluting,0.72
ECU,Ecuador,Urban,Biomass,0.7
ECU,Ecuador,Urban,Charcoal,0.28
ECU,Ecuador,Urban,Coal,0.35
ECU,Ecuador,Urban,Electricity,0.1
ECU,Ecuador,Urban,Gas,0.45
ECU,Ecuador,Urban,Kerosene,0.32
ECU,Ecuador,Urban,Total Clean,0.5
ECU,Ecuador,Urban,Total Polluting,0.65
ECU,Ecuador,Rural,Biomass,0.87
ECU,Ecuador,Rural,Charcoal,0.32
ECU,Ecuador,Rural,Coal,0.42
ECU,Ecuador,Rural,Electricity,0.06
ECU,Ecuador,Rural,Gas,0.36
ECU,Ecuador,Rural,Kerosene,0.35
ECU,Ecuador,Rural,Total Clean,0.37
ECU,Ecuador,Rural,Total Polluting,0.78
EGY,Egypt,Urban,Biomass,0.64
EGY,Egypt,Urban,Charcoal,0.26
EGY,Egypt,Urban,Coal,0.32
EGY,Egypt,Urban,Electricity,0.09
EGY,Egypt,Urban,Gas,0.41
EGY,Egypt,Urban,Kerosene,0.29
EGY,Egypt,Urban,Total Clean,0.46
EGY,Egypt,Urban,Total Polluting,0.6
EGY,Egypt,Rural,Biomass,0.81
EGY,Egypt,Rural,Charcoal,0.3
EGY,Egypt,Rural,Coal,0.39
EGY,Egypt,Rural,Electricity,0.06
EGY,Egypt,Rural,Gas,0.33
EGY,Egypt,Rural,Kerosene,0.32
EGY,Egypt,Rural,Total Clean,0.35
EGY,Egypt,Rural,Total Polluting,0.72
ERI,Eritrea,Urban,Biomass,0.72
ERI,Eritrea,Urban,Charcoal,0.29
ERI,Eritrea,Urban,Coal,0.36
ERI,Eritrea,Urban,Electricity,0.1
ERI,Eritrea,Urban,Gas,0.46
ERI,Eritrea,Urban,Kerosene,0.33
ERI,Eritrea,Urban,Total Clean,0.51
ERI,Eritrea,Urban,Total Polluting,0.67
ERI,Eritrea,Rural,Biomass,0.9
ERI,Eritrea,Rural,Charcoal,0.33
ERI,Eritrea,Rural,Coal,0.43
ERI,Eritrea,Rural,Electricity,0.06
ERI,Eritrea,Rural,Gas,0.37
ERI,Eritrea,Rural,Kerosene,0.36
ERI,Eritrea,Rural,Total Clean,0.38
ERI,Eritrea,Rural,Total Polluting,0.8
ETH,Ethiopia,Urban,Biomass,0.63
ETH,Ethiopia,Urban,Charcoal,0.25
ETH,Ethiopia,Urban,Coal,0.32
ETH,Ethiopia,Urban,Electricity,0.09
ETH,Ethiopia,Urban,Gas,0.41
ETH,Ethiopia,Urban,Kerosene,0.29
ETH,Ethiopia,Urban,Total Clean,0.45
ETH,Ethiopia,Urban,Total Polluting,0.59
ETH,Ethiopia,Rural,Biomass,0.79
ETH,Ethiopia,Rural,Charcoal,0.29
ETH,Ethiopia,Rural,Coal,0.38
ETH,Ethiopia,Rural,Electricity,0.05
ETH,Ethiopia,Rural,Gas,0.32
ETH,Ethiopia,Rural,Kerosene,0.32
ETH,Ethiopia,Rural,Total Clean,0.34
ETH,Ethiopia,Rural,Total Polluting,0.7
FJI,Fiji,Urban,Biomass,0.7
FJI,Fiji,Urban,Charcoal,0.28
FJI,Fiji,Urban,Coal,0.35
FJI,Fiji,Urban,Electricity,0.1
FJI,Fiji,Urban,Gas,0.45
FJI,Fiji,Urban,Kerosene,0.32
FJI,Fiji,Urban,Total Clean,0.5
FJI,Fiji,Urban,Total Polluting,0.65
FJI,Fiji,Rural,Biomass,0.88
FJI,Fiji,Rural,Charcoal,0.32
FJI,Fiji,Rural,Coal,0.42
FJI,Fiji,Rural,Electricity,0.06
FJI,Fiji,Rural,Gas,0.36
