iso3,country,CO2,CH4,N2O
EGY,Egypt,0.831933778,0.016322352,0.001013997
SLV,El Salvador,0.831933778,0.016322352,0.001013997
GNQ,Equatorial Guinea,0.831933778,0.016322352,0.001013997
ERI,Eritrea,0.831933778,0.016322352,0.001013997
EST,Estonia,0.831933778,0.016322352,0.001013997
SWZ,Eswatini,0.831933778,0.016322352,0.001013997
ETH,Ethiopia,0.831933778,0.016322352,0.001013997
FLK,Falkland Islands (Malvinas),0.831933778,0.016322352,0.001013997
FRO,Faroe Islands,0.831933778,0.016322352,0.001013997
FJI,Fiji,0.831933778,0.016322352,0.001013997
FIN,Finland,0.831933778,0.016322352,0.001013997
FRA,France,0.831933778,0.016322352,0.001013997
GUF,French Guiana,0.831933778,0.016322352,0.001013997
PYF,French Polynesia,0.831933778,0.016322352,0.001013997
ATF,French Southern Territories,0.831933778,0.016322352,0.001013997
GAB,Gabon,0.831933778,0.016322352,0.001013997
GMB,Gambia,0.831933778,0.016322352,0.001013997
GEO,Georgia,0.831933778,0.016322352,0.001013997
DEU,Germany,0.831933778,0.016322352,0.001013997
GHA,Ghana,0.831933778,0.016322352,0.001013997
GIB,Gibraltar,0.831933778,0.016322352,0.001013997
GRC,Greece,0.831933778,0.016322352,0.001013997
GRL,Greenland,0.831933778,0.016322352,0.001013997
GRD,Grenada,0.831933778,0.016322352,0.001013997
GLP,Guadeloupe,0.831933778,0.016322352,0.001013997
GUM,Guam,0.831933778,0.016322352,0.001013997
GTM,Guatemala,0.831933778,0.016322352,0.001013997
GGY,Guernsey,0.831933778,0.016322352,0.001013997
GIN,Guinea,0.831933778,0.016322352,0.001013997
GNB,Guinea-Bissau,0.831933778,0.016322352,0.001013997
GUY,Guyana,0.831933778,0.016322352,0.001013997
HTI,Haiti,0.831933778,0.016322352,0.001013997
HMD,Heard Island and McDonald Islands,0.831933778,0.016322352,0.001013997
VAT,Holy See,0.831933778,0.016322352,0.001013997
HND,Honduras,0.831933778,0.016322352,0.001013997
HUN,Hungary,0.831933778,0.016322352,0.001013997
ISL,Iceland,0.831933778,0.016322352,0.001013997
IND,India,0.831933778,0.016322352,0.001013997
IDN,Indonesia,0.831933778,0.016322352,0.001013997
IRN,Iran (Islamic Republic of),0.831933778,0.016322352,0.001013997
IRQ,Iraq,0.831933778,0.016322352,0.001013997
IRL,Ireland,0.831933778,0.016322352,0.001013997
IMN,Isle of Man,0.831933778,0.016322352,0.001013997
ISR,Israel,0.831933778,0.016322352,0.001013997
ITA,Italy,0.831933778,0.016322352,0.001013997
JAM,Jamaica,0.831933778,0.016322352,0.001013997
JPN,Japan,0.831933778,0.016322352,0.001013997
JEY,Jersey,0.831933778,0.016322352,0.001013997
JOR,Jordan,0.831933778,0.016322352,0.001013997
KAZ,Kazakhstan,0.831933778,0.016322352,0.001013997
KEN,Kenya,0.831933778,0.016322352,0.001013997
KIR,Kiribati,0.831933778,0.016322352,0.001013997
KWT,Kuwait,0.831933778,0.016322352,0.001013997
KGZ,Kyrgyzstan,0.831933778,0.016322352,0.001013997
LAO,Lao People's Democratic Republic,0.831933778,0.016322352,0.001013997
LVA,Latvia,0.831933778,0.016322352,0.001013997
LBN,Lebanon,0.831933778,0.016322352,0.001013997
LSO,Lesotho,0.831933778,0.016322352,0.001013997
LBR,Liberia,0.831933778,0.016322352,0.001013997
LBY,Libya,0.831933778,0.016322352,0.001013997
LIE,Liechtenstein,0.831933778,0.016322352,0.001013997
LTU,Lithuania,0.831933778,0.016322352,0.001013997
LUX,Luxembourg,0.831933778,0.016322352,0.001013997
MDG,Madagascar,0.831933778,0.016322352,0.001013997
MWI,Malawi,0.831933778,0.016322352,0.001013997
MYS,Malaysia,0.831933778,0.016322352,0.001013997
MDV,Maldives,0.831933778,0.016322352,0.001013997
MLI,Mali,0.831933778,0.016322352,0.001013997
MLT,Malta,0.831933778,0.016322352,0.001013997
MHL,Marshall Islands,0.831933778,0.016322352,0.001013997
MTQ,Martinique,0.831933778,0.016322352,0.001013997
MRT,Mauritania,0.831933778,0.016322352,0.001013997
MUS,Mauritius,0.831933778,0.016322352,0.001013997
MYT,Mayotte,0.831933778,0.016322352,0.001013997
MEX,Mexico,0.831933778,0.016322352,0.001013997
FSM,Micronesia (Federated States of),0.831933778,0.016322352,0.001013997
MCO,Monaco,0.831933778,0.016322352,0.001013997
MNG,Mongolia,0.831933778,0.016322352,0.001013997
MNE,Montenegro,0.831933778,0.016322352,0.001013997
MSR,Montserrat,0.831933778,0.016322352,0.001013997
MAR,Morocco,0.831933778,0.016322352,0.001013997
MOZ,Mozambique,0.831933778,0.016322352,0.001013997
MMR,Myanmar,0.831933778,0.016322352,0.001013997
NAM,Namibia,0.831933778,0.016322352,0.001013997
NRU,Nauru,0.831933778,0.016322352,0.001013997
NPL,Nepal,0.831933778,0.016322352,0.001013997
NLD,Netherlands (Kingdom of the),0.831933778,0.016322352,0.001013997
NCL,New Caledonia,0.831933778,0.016322352,0.001013997
NZL,New Zealand,0.831933778,0.016322352,0.001013997
NIC,Nicaragua,0.831933778,0.016322352,0.001013997
NER,Niger,0.831933778,0.016322352,0.001013997
NGA,Nigeria,0.831933778,0.016322352,0.001013997
NIU,Niue,0.831933778,0.016322352,0.001013997
NFK,Norfolk Island,0.831933778,0.016322352,0.001013997
MKD,North Macedonia,0.831933778,0.016322352,0.001013997
MNP,Northern Mariana Islands,0.831933778,0.016322352,0.001013997
NOR,Norway,0.831933778,0.016322352,0.001013997
OMN,Oman,0.831933778,0.016322352,0.001013997
PAK,Pakistan,0.831933778,0.016322352,0.001013997
PLW,Palau,0.831933778,0.016322352,0.001013997
PAN,Panama,0.831933778,0.016322352,0.001013997
PNG,Papua New Guinea,0.831933778,0.016322352,0.001013997
PRY,Paraguay,0.831933778,0.016322352,0.001013997
PER,Peru,0.831933778,0.016322352,0.001013997
PHL,Philippines,0.831933778,0.016322352,0.001013997
PCN,Pitcairn,0.831933778,0.016322352,0.001013997
POL,Poland,0.831933778,0.016322352,0.001013997
PRT,Portugal,0.831933778,0.016322352,0.001013997
PRI,Puerto Rico,0.831933778,0.016322352,0.001013997
QAT,Qatar,0.831933778,0.016322352,0.001013997
KOR,Republic of Korea,0.831933778,0.016322352,0.001013997
MDA,Republic of Moldova,0.831933778,0.016322352,0.001013997
REU,Réunion,0.831933778,0.016322352,0.001013997
ROU,Romania,0.831933778,0.016322352,0.001013997
RUS,Russian Federation,0.831933778,0.016322352,0.001013997
RWA,Rwanda,0.831933778,0.016322352,0.001013997
BLM,Saint Barthélemy,0.831933778,0.016322352,0.001013997
SHN,Saint Helena,0.831933778,0.016322352,0.001013997
KNA,Saint Kitts and Nevis,0.831933778,0.016322352,0.001013997
LCA,Saint Lucia,0.831933778,0.016322352,0.001013997
MAF,Saint Martin (French Part),0.831933778,0.016322352,0.001013997
SPM,Saint Pierre and Miquelon,0.831933778,0.016322352,0.001013997
VCT,Saint Vincent and the Grenadines,0.831933778,0.016322352,0.001013997
WSM,Samoa,0.831933778,0.016322352,0.001013997
SMR,San Marino,0.831933778,0.016322352,0.001013997
STP,Sao Tome and Principe,0.831933778,0.016322352,0.001013997
SAU,Saudi Arabia,0.831933778,0.016322352,0.001013997
SEN,Senegal,0.831933778,0.016322352,0.001013997
SRB,Serbia,0.831933778,0.016322352,0.001013997
SYC,Seychelles,0.831933778,0.016322352,0.001013997
SLE,Sierra Leone,0.831933778,0.016322352,0.001013997
SGP,Singapore,0.831933778,0.016322352,0.001013997
SXM,Sint Maarten (Dutch part),0.831933778,0.016322352,0.001013997
SVK,Slovakia,0.831933778,0.016322352,0.001013997
SVN,Slovenia,0.831933778,0.016322352,0.001013997
SLB,Solomon Islands,0.831933778,0.016322352,0.001013997
SOM,Somalia,0.831933778,0.016322352,0.001013997
ZAF,South Africa,0.831933778,0.016322352,0.001013997
SGS,South Georgia and the South Sandwich Islands,0.831933778,0.016322352,0.001013997
SSD,South Sudan,0.831933778,0.016322352,0.001013997
ESP,Spain,0.831933778,0.016322352,0.001013997
LKA,Sri Lanka,0.831933778,0.016322352,0.001013997
PSE,State of Palestine,0.831933778,0.016322352,0.001013997
SDN,Sudan,0.831933778,0.016322352,0.001013997
SUR,Suriname,0.831933778,0.016322352,0.001013997
SJM,Svalbard and Jan Mayen Islands,0.831933778,0.016322352,0.001013997
SWE,Sweden,0.831933778,0.016322352,0.001013997
CHE,Switzerland,0.831933778,0.016322352,0.001013997
SYR,Syrian Arab Republic,0.831933778,0.016322352,0.001013997
TJK,Tajikistan,0.831933778,0.016322352,0.001013997
THA,Thailand,0.831933778,0.016322352,0.001013997
TLS,Timor-Leste,0.831933778,0.016322352,0.001013997
TGO,Togo,0.831933778,0.016322352,0.001013997
TKL,Tokelau,0.831933778,0.016322352,0.001013997
TON,Tonga,0.831933778,0.016322352,0.001013997
TTO,Trinidad and Tobago,0.831933778,0.016322352,0.001013997
TUN,Tunisia,0.831933778,0.016322352,0.001013997
TUR,Türkiye,0.831933778,0.016322352,0.001013997
TKM,Turkmenistan,0.831933778,0.016322352,0.001013997
TCA,Turks and Caicos Islands,0.831933778,0.016322352,0.001013997
TUV,Tuvalu,0.831933778,0.016322352,0.001013997
UGA,Uganda,0.831933778,0.016322352,0.001013997
UKR,Ukraine,0.831933778,0.016322352,0.001013997
ARE,United Arab Emirates,0.831933778,0.016322352,0.001013997
GBR,United Kingdom of Great Britain and Northern Ireland,0.831933778,0.016322352,0.001013997
TZA,United Republic of Tanzania,0.831933778,0.016322352,0.001013997
UMI,United States Minor Outlying Islands,0.831933778,0.016322352,0.001013997
USA,United States of America,0.831933778,0.016322352,0.001013997
VIR,United States Virgin Islands,0.831933778,0.016322352,0.001013997
URY,Uruguay,0.831933778,0.016322352,0.001013997
UZB,Uzbekistan,0.831933778,0.016322352,0.001013997
VUT,Vanuatu,0.831933778,0.016322352,0.001013997
VEN,Venezuela (Bolivarian Republic of),0.831933778,0.016322352,0.001013997
VNM,Viet Nam,0.831933778,0.016322352,0.001013997
WLF,Wallis and Futuna Islands,0.831933778,0.016322352,0.001013997
ESH,Western Sahara,0.831933778,0.016322352,0.001013997
YEM,Yemen,0.831933778,0.016322352,0.001013997
ZMB,Zambia,0.831933778,0.016322352,0.001013997
ZWE,Zimbabwe,0.831933778,0.016322352,0.001013997
